         1     0.725   -0.6191
         1    0.5323   -0.6727
         1    0.3341   -0.6996
         1    0.1753   -0.8212
         1 -0.008285   -0.9006
         1   -0.1787    -0.796
         1   -0.2035   -0.5975
         1  -0.01727   -0.5247
         1   0.03401    -0.718
         1    0.0755   -0.9136
         1  -0.09285    -1.022
         1   -0.1418   -0.8277
         1 -0.003639    -0.683
         1   0.03677   -0.4872
         1  -0.05911   -0.3116
         1   -0.1463   -0.1316
         2     -2.33    -3.136
         2    -2.173    -3.012
         2    -2.005    -2.902
         2    -1.841    -2.789
         2    -1.686    -2.662
         2    -1.537    -2.529
         2    -1.383    -2.402
         2    -1.226    -2.277
         2    -1.084    -2.137
         2   -0.9587    -1.981
         2   -0.8467    -1.815
         2   -0.7309    -1.652
         2   -0.6017    -1.499
         2   -0.4714    -1.347
         2   -0.3328    -1.203
         2   -0.1652    -1.094
         3     2.175    -1.575
         3     1.999    -1.481
         3     1.832    -1.371
         3     1.664    -1.261
         3     1.482    -1.178
         3      1.29    -1.122
         3      1.09     -1.12
         3    0.8909    -1.135
         3     0.693    -1.106
         3    0.5187    -1.008
         3    0.4085    -0.841
         3    0.3378   -0.6539
         3    0.1501   -0.5849
         3  -0.01304   -0.4692
         3  -0.07414   -0.2787
         3   -0.1187  -0.08376
         4     3.261   -0.7961
         4     3.062   -0.8145
         4     2.863   -0.8284
         4     2.663   -0.8318
         4     2.463   -0.8326
         4     2.264   -0.8113
         4     2.066   -0.7851
         4     1.866   -0.7726
         4     1.666     -0.78
         4     1.466   -0.7891
         4     1.267   -0.8002
         4     1.068   -0.8186
         4    0.8749   -0.8723
         4    0.6964   -0.9625
         4    0.5438    -1.092
         4    0.3919    -1.222
         5    0.4779   -0.5919
         5     0.307   -0.4881
         5    0.1273   -0.4002
         5  -0.04785   -0.3037
         5  -0.01933   -0.5016
         5   -0.1213   -0.6737
         5  0.002206    -0.831
         5    0.1961   -0.7821
         5    0.1509   -0.9769
         5 -0.005928    -1.101
         5     0.143    -1.235
         5    0.3224    -1.146
         5    0.4045   -0.9639
         5    0.2185   -0.8905
         5   0.02461   -0.8413
         5    0.1487   -0.6845
         6   -0.4941    -1.243
         6   -0.4014    -1.066
         6   -0.2817   -0.9053
         6   -0.1291   -0.7761
         6   0.07087   -0.7726
         6    0.1588   -0.9522
         6   0.08152   -0.7678
         6  -0.08502    -0.657
         6   0.06705   -0.5271
         6    0.1943   -0.3728
         6    0.3612    -0.483
         6    0.3999   -0.6792
         6    0.2642   -0.8261
         6   0.07158   -0.7724
         6  -0.05355   -0.6164
         6   -0.1584   -0.4461
         7     1.539   -0.9451
         7      1.35   -0.8784
         7     1.163   -0.8081
         7    0.9863   -0.7148
         7    0.7999   -0.6424
         7    0.6008    -0.624
         7    0.4034   -0.5915
         7    0.2056   -0.6211
         7  0.008999   -0.6577
         7    -0.181   -0.7201
         7  0.002551   -0.7994
         7    0.1829   -0.8858
